id,especie,areas_conservacion,grupos_nomenclaturales
1,Panthera onca,ACLAP:ACOSA:ACAHN:ACAT:ACC:ACG:ACLAC:ACOPAC:ACT:ACTo,Felinos
2,Puma concolor,ACLAP:ACOSA:ACAHN:ACAT:ACC:ACG:ACLAC:ACOPAC:ACT:ACTo,Felinos
3,Leopardus pardalis,ACLAP:ACOSA:ACAHN:ACAT:ACC:ACG:ACLAC:ACOPAC:ACT:ACTo,Felinos
4,Puma yagouaroundi,ACLAP:ACOSA:ACAHN:ACAT:ACC:ACG:ACLAC:ACOPAC:ACT:ACTo,Felinos
5,Leopardus tigrinus,ACLAP:ACOSA:ACAHN:ACAT:ACC:ACG:ACLAC:ACOPAC:ACT:ACTo,Felinos
6,Leopardus wiedii,ACLAP:ACOSA:ACAHN:ACAT:ACC:ACG:ACLAC:ACOPAC:ACT:ACTo,Felinos
7,Pecari tajacu,ACLAP,Ungulados
8,Mazama temama,ACLAP,Ungulados
9,Odocoileus virginianus,ACLAP,Ungulados
10,Tapirus bairdii,ACLAP,Ungulados
11,Alouatta palliata,ACLAP,Primates
12,Ateles geoffroyi,ACLAP,Primates
13,Cebus imitator,ACLAP,Primates
14,Saimiri oerstedii,ACLAP,Primates
15,Dasyprocta punctata,ACLAP,Guatusas y tepezcuintles
16,Cuniculus paca,ACLAP,Guatusas y tepezcuintles
17,Pharomachrus mocinno,ACLAP,Aves
18,Trogon rufus,ACLAP,Aves
19,Trogon bairdii,ACLAP,Aves
20,Trogon caligatus,ACLAP,Aves
21,Trogon massena,ACLAP,Aves
22,Trogon collaris,ACLAP,Aves
23,Procnias tricarunculatus,ACLAP,Aves
24,Myadestes melanops,ACLAP,Aves
25,Tinamus major,ACLAP,Aves
26,Nothocercus bonapartei,ACLAP,Aves
27,Crypturellus soui,ACLAP,Aves
28,Crax rubra,ACLAP,Aves
29,Penelope purpurascens,ACLAP,Aves
30,Ortalis cinereiceps,ACLAP,Aves
31,Chamaepetes unicolor,ACLAP,Aves
32,Atelopus varius,ACLAP,Herpetofauna
33,Tayassu pecari,ACLAP,Ungulados
34,Spizaetus ornatus,ACLAP,Aves
35,Cotinga ridgwayi,ACLAP,Aves
36,Platalea ajaja,ACOSA,Aves
37,Agamia agami,ACOSA,Aves
38,Nyctanassa violacea,ACOSA,Aves
39,Cochlearius cochlearius,ACOSA,Aves
40,Anhinga anhinga,ACOSA,Aves
41,Mycteria americana,ACOSA,Aves
42,Carpodectes antoniae,ACOSA,Aves
43,Amazilia boucardi,ACOSA,Aves
44,Habia atrimaxillaris,ACOSA,Aves
45,Setophaga petechia,ACOSA,Aves
46,Sarcoramphus papa,ACOSA,Aves
47,Phyllobates vittatus,ACOSA,Herpetofauna
48,Oophaga granulifera,ACOSA,Herpetofauna
49,Dendrobates auratus,ACOSA,Herpetofauna
50,Corallus ruschenbergerii,ACOSA,Herpetofauna
51,Crocodylus acutus,ACOSA,Herpetofauna
