occurrenceID,basisOfRecord,scientificName,eventDate,class_,decimalLongitude,vernacularName,locality,phylum,kingdom,geodeticDatum,scientificNameAuthorship,occurrenceRemarks,family,countryCode,genus,taxonID,specificEpithet,decimalLatitude,eventID,taxonRank,order,individualCount
2020-11-27T15:54:28.585050,Human Observation,Ortalis cinereiceps,1606489200000,Aves,-83.504631,"Pajuila, chachalaca cabecigrís","Barrio Santa Rosa, San Jerónimo. ",Chordata,Animalia,EPSG:4326,"G.R.Gray, 1867",,Cracidae,CR,Ortalis,000030,cinereiceps,9.351962,0,species,Galliformes,3
2020-12-06T22:00:31.814655,Human Observation,Dasyprocta punctata,1606856400000,Mammalia,-83.504425,"Cherenga, guatusa",San Jerónimo de San Pedro. Barrio Santa Rosa. ,Chordata,Animalia,EPSG:4326,"Gray, 1842",,Dasyproctidae,CR,Dasyprocta,000015,punctata,9.35229,0,species,Rodentia,1
2021-02-14T11:55:58.830503,Human Observation,Ateles geoffroyi,1613318400000,Mammalia,-83.49988,Mono araña,"Finca Emilio Fonseca, San Jerónimo de San Pedro. ",Chordata,Animalia,EPSG:4326,"Kuhl, 1820",,Atelidae,CR,Ateles,000012,geoffroyi,9.353286,0,species,Primates,2
2021-03-17T17:40:54.436291,Human Observation,Penelope purpurascens,1616024280000,Aves,-83.505278,Pava granadera,San Jerónimo de San Pedro. ,Chordata,Animalia,EPSG:4326,"Wagler, 1830",,Cracidae,CR,Penelope,000029,purpurascens,9.353007,0,species,Galliformes,1
2021-04-06T14:23:44.432958,Human Observation,Penelope purpurascens,1617465600000,Aves,-83.506605,Pava granadera,San Jerónimo de San Pedro de Pérez Zeledon. ,Chordata,Animalia,EPSG:4326,"Wagler, 1830",,Cracidae,CR,Penelope,000029,purpurascens,9.363916,0,species,Galliformes,1
2021-04-18T08:20:09.760949,Human Observation,Trogon collaris,1618560000000,Aves,-83.506519,Trogón collarejo,San Jerónimo de San Pedro de Pérez Zeledon. ,Chordata,Animalia,EPSG:4326,"Vieillot, 1817","Se observa una pareja, en anidación. ",Trogonidae,CR,Trogon,000022,collaris,9.364092,0,species,Trogoniformes,2
2021-07-28T07:00:06.882322,Human Observation,Ortalis cinereiceps,1627477140000,Aves,-83.501736,"Pajuila, chachalaca cabecigrís",San Jerónimo ,Chordata,Animalia,EPSG:4326,"G.R.Gray, 1867",,Cracidae,CR,Ortalis,000030,cinereiceps,9.352682,0,species,Galliformes,2
2021-07-30T08:45:49.786318,Human Observation,Ateles geoffroyi,1627656120000,Mammalia,-83.499811,Mono araña,"Finca Emilio Fonseca, San Jerónimo, San Pedro, Pérez Zeledón. ",Chordata,Animalia,EPSG:4326,"Kuhl, 1820",,Atelidae,CR,Ateles,000012,geoffroyi,9.354952,0,species,Primates,4
2021-10-10T07:48:44.220617,Human Observation,Ortalis cinereiceps,1633873560000,Aves,-83.505939,"Pajuila, chachalaca cabecigrís",San Jerónimo de San Pedro de Pérez Zeledon. ,Chordata,Animalia,EPSG:4326,"G.R.Gray, 1867",,Cracidae,CR,Ortalis,000030,cinereiceps,9.347832,0,species,Galliformes,7
2020-09-05T08:36:21.488882,Human Observation,Dasyprocta punctata,1599311220000,Mammalia,-83.845292,"Cherenga, guatusa",SA-01 Savegre Abajo,Chordata,Animalia,EPSG:4326,"Gray, 1842",,Dasyproctidae,CR,Dasyprocta,000015,punctata,9.431213,2020-09-05T08:36:20.680507,species,Rodentia,1
