deploymentLocationID,longitude,latitude,Organization
Asoprola,-83.00739,9.00615,Altamira de Biolley
Finca_El_Campo,-83.04358,9.00378,Altamira de Biolley
Finca_Hamacas,-82.98604,8.98712,Altamira de Biolley
Finca_Marylin,,,Altamira de Biolley
Finca_Randall,-83.02095,9.01204,Altamira de Biolley
Finca_Selmira,-83.05094,8.98301,Altamira de Biolley
Finca_Wilberth,-82.99505,9.01346,Altamira de Biolley
Finca_Colombianos,,,Altamira de Biolley
Finca_Elio,,,Altamira de Biolley
Finca_Francis,,,Altamira de Biolley
Sansi,,,Altamira de Biolley
Aprocome,-83.4607,9.27761,Altamira de Volcán
Finca_La_Fila,-83.4437,9.28332,Altamira de Volcán
Finca_Tepezcuintle,-83.45758,9.28154,Altamira de Volcán
Piedra_Tepezcuintle,-83.45965,9.28058,Altamira de Volcán
Sendero_Linda_vista,-83.44709,9.28342,Altamira de Volcán
Finca_Kattya,-83.03586,9.05415,Biolley
Finca_Monterromo,-83.05788,9.01964,Biolley
Finca_Serracín,-83.03435,9.06281,Biolley
Finca_Vera,-83.05109,9.02317,Biolley
La_Reserva_Asomobi,-83.03903,9.03161,Biolley
Sendero_Asomobi,-83.042,9.03496,Biolley
Finca_María_Isabel,-83.03859,9.03844,Biolley
Cabagra_Huacas_Edmundo,-83.14438,9.12042,Cabagra
Finca_Chano,,,Cabagra
Finca_Juan_Lázaro,-83.2019,9.13682,Cabagra
Sendero_Mayor,-83.19239,9.12976,Cabagra
Sendero_Otilia,,,Cabagra
Sendero_Cerro_Pelón,-83.22692,9.17226,Cabagra
Canforro_Bill_Foster,-83.57954336,9.37272033,COBAS
Cusingos,-83.62861,9.33875,COBAS
Finca_Fernando_Brenes,-83.59128222,9.36739868,COBAS
Finca_Elizabeth,-83.61032,9.33135,COBAS
Finca_Fernando_Ureña,-83.61583,9.33124,COBAS
Finca_Playa_Verde,-83.61787,9.35067,COBAS
Juan_José,-83.61179,9.35569,COBAS
Las_Nubes,-83.59969,9.38798,COBAS
Quizarrá_Ureña,-83.62438,9.33722,COBAS
Terrazas_del_Río,-83.61911,9.34854,COBAS
Finca_Bajo_Los_Lezcano,,,CB Fila Langusiana
Finca_Fernández,,,CB Fila Langusiana
Finca_Chánguena,-83.2077,8.914,CB Fila Langusiana
Finca_Jeremy,,,CB Fila Langusiana
Finca_La_Bonita,-83.19172,8.91472,CB Fila Langusiana
Finca_Las_Nubes,-83.16407423,8.91486126,CB Fila Langusiana
Finca_Pilón_Barahona,-83.17091,8.90754,CB Fila Langusiana
Finca_Pilón_Sergio_Hidalgo,,,CB Fila Langusiana
Pilón_Finca_Vargas,,,CB Fila Langusiana
Finca_Las_Cruces,-83.14367144,8.89461284,CB Fila Langusiana
Calle_Mirador,-83.38925,9.26761,CB Río Cañas
Finca_Alex_Zúñiga,-83.37112,9.30898,CB Río Cañas
Finca_Eduardo_Zúñiga,-83.37148,9.29141,CB Río Cañas
Finca_Altamirano,-83.39131,9.26381,CB Río Cañas
Finca_Canadiense,-83.37958,9.25374,CB Río Cañas
Finca_Efraín_San_Rafael,-83.19172,8.91472,CB Río Cañas
Finca_Everardo_Romero,-83.3715,9.32896,CB Río Cañas
Finca_Kenneth_Chaves,-83.37738,9.22863,CB Río Cañas
Finca_Los_Martínez,-83.39608,9.30431,CB Río Cañas
Finca_Marco_Jiménez,-83.37646,9.23959,CB Río Cañas
Finca_Naranjal,-83.38837,9.26351,CB Río Cañas
Finca_Romero,-83.37061,9.31897,CB Río Cañas
Finca_Segura,-83.39158,9.24589,CB Río Cañas
Amigos_del_Bosque,-83.71708,9.54865,Cerro Bella Vista
Finca_Don_José_Sendero_La_cueva,-83.73209,9.52869,Cerro Bella Vista
